アステルナイト
	古塔乱
	古塔槍術師範
	不屈の精神
	腕自慢
	ドナムマスター
	スピード自慢
	速攻術
	黒切断
	全治癒術
	誘惑の魔眼
	気功術
	硬化術

シノブシ
	二刀一流
	刀剣術師範
	器用さ自慢
	不屈の精神
	ドナムマスター
	スピード自慢
	速攻術
	黒切断
	全治癒術
	誘惑の魔眼
	気功術
	硬化術

シアトリカルスター
	癒演舞の鐘
	呪詛の鐘
	呪鐘術師範
	不屈の精神
	ドナムマスター
	スピード自慢
	速攻術
	黒切断
	全治癒術
	誘惑の魔眼
	気功術
	硬化術
		
マージナルメイズ
	ドナムマスター
	ドナム効率化論
	ドナム力自慢
	月蝕
	蝕台術師範
	不屈の精神
	スピード自慢
	速攻術
	黒切断
	全治癒術
	誘惑の魔眼
	硬化術

ピアフォートレス
	篭城盾
	守るの心
	亀甲の構え
	戦術甲術師範
	鉄壁
	ドナムマスター
	不屈の精神
	スピード自慢
	速攻術
	全治癒術
	硬化術
	受け流し
		
マッドラプター
	百花ノ狙撃手
	百花弓術師範
	スピード自慢
	速攻術
	百花の乱れ矢
	不屈の精神
	ドエムマスター
	黒切断
	全治癒術
	誘惑の魔眼
	気功術
	硬化術
ゴシックコッペリア
	黒切断
	全治癒術
	誘惑の魔眼
	気功術
	鈍槌術師範
	硬化術
	ドエムマスター
	不屈の精神
	瞬速
	スピード自慢
	速攻術
	腕自慢
	
デモンリーパー
	星嵐舞踏
	受け流し
	雄心勃勃たる構え
	星嵐鎌術師範
	瞬速
	ドエムマスター
	不屈の精神
	全治癒術
	誘惑の魔眼
	気功術
	スピード自慢
	速攻術
